Make,Model,Vehicle Model,Year,Mileage,Engine_Size,Fuel_Type,Transmission,Price
NISSAN,NOTE E POWER MEDALIST,NISSAN NOTE E POWER MEDALIST,2017,"160,000km","1,200cc",HYBRID(PETROL),AT,"2,700"
NISSAN,NOTE X,NISSAN NOTE X,2016,"76,000km","1,200cc",PETROL,AT,"2,530"
NISSAN,NOTE X DIG-S,NISSAN NOTE X DIG-S,2016,"77,000km","1,200cc",PETROL,AT,"2,530"
TOYOTA,WISH X LIMITED,TOYOTA WISH X LIMITED,2007,"166,000km","1,800cc",PETROL,AT,Ask
TOYOTA,WISH X LIMITED,TOYOTA WISH X LIMITED,2007,"149,000km","1,800cc",PETROL,AT,Ask
SUBARU,XV 2.0I L EYESIGHT,SUBARU XV 2.0I L EYESIGHT,2014,"78,000km","1,995cc",PETROL,AT,"3,120"
NISSAN,XTRAIL 20X,NISSAN XTRAIL 20X,2014,"165,000km","2,000cc",PETROL,AT,"3,490"
TOYOTA,WISH 2.0Z,TOYOTA WISH 2.0Z,2010,"128,000km","2,000cc",PETROL,AT,"2,260"
NISSAN,XTRAIL 20XT,NISSAN XTRAIL 20XT,2009,"205,000km","2,000cc",PETROL,AT,"2,180"
NISSAN,XTRAIL 20X,NISSAN XTRAIL 20X,2009,"152,000km","2,000cc",PETROL,AT,"2,210"
TOYOTA,VITZ JEWELA,TOYOTA VITZ JEWELA,2017,"129,000km","1,300cc",PETROL,AT,"4,240"
HONDA,STEPWAGON SPADA Z,HONDA STEPWAGON SPADA Z,2013,"185,000km","2,000cc",PETROL,AT,"1,620"
HONDA,VEZEL HYBRID X HONDA SENSING,HONDA VEZEL HYBRID X HONDA SENSING,2021,"53,000km","1,500cc",HYBRID(PETROL),AT,"10,900"
HONDA,VEZEL HYBRID X HONDA SENSING BRILLIANT STYLE EDITION,HONDA VEZEL HYBRID X HONDA SENSING BRILLIANT STYLE EDITION,2017,"98,000km","1,500cc",HYBRID(PETROL),AT,"8,150"
TOYOTA,MARK X 250G,TOYOTA MARK X 250G,2016,"78,000km","2,490cc",PETROL,AT,"6,780"
TOYOTA,LAND CRUISER PRADO TX L PKG MATT BLACK EDITION,TOYOTA LAND CRUISER PRADO TX L PKG MATT BLACK EDITION,2023,"20,000km","2,693cc",PETROL,AT,"30,550"
HONDA,FREED HYBRID EX,HONDA FREED HYBRID EX,2017,"185,000km","1,496cc",HYBRID(PETROL),AT,"3,880"
DAIHATSU,MIRA X LTD ER,DAIHATSU MIRA X LTD ER,2009,"72,000km",660cc,PETROL,AT,"1,000"
HONDA,FIT HYBRID HYBRID F PACKAGE,HONDA FIT HYBRID HYBRID F PACKAGE,2014,"170,000km","1,496cc",HYBRID(PETROL),AT,"2,040"
MAZDA,BIANTE 20S SKYACTIV,MAZDA BIANTE 20S SKYACTIV,2013,"125,000km","2,000cc",PETROL,AT,"1,290"
TOYOTA,ALPHARD AS PLATINUM  SELECTION II,TOYOTA ALPHARD AS PLATINUM  SELECTION II,2008,"142,000km","2,400cc",PETROL,AT,"2,460"
MAZDA,CX5 XD,MAZDA CX5 XD,2014,"109,000km","2,200cc",DIESEL,AT,"3,180"
MAZDA,CX5 XD,MAZDA CX5 XD,2014,"80,000km","2,200cc",DIESEL,AT,"3,180"
MAZDA,CX5 XD L PKG,MAZDA CX5 XD L PKG,2014,"96,000km","2,200cc",DIESEL,AT,"3,200"
TOYOTA,VANGUARD 240S,TOYOTA VANGUARD 240S,2009,"181,000km","2,400cc",PETROL,AT,"5,000"
NISSAN,JUKE 15RS TYPE V,NISSAN JUKE 15RS TYPE V,2013,"82,000km","1,500cc",PETROL,AT,"2,600"
TOYOTA,HILUX SURF SSR X LTD,TOYOTA HILUX SURF SSR X LTD,2008,"176,000km","2,700cc",PETROL,AT,"9,000"
HONDA,FIT 13G L HONDA SENSING,HONDA FIT 13G L HONDA SENSING,2019,"39,000km","1,317cc",PETROL,AT,"5,800"
TOYOTA,PROBOX VAN DX,TOYOTA PROBOX VAN DX,2002,"154,000km","1,500cc",PETROL,AT,"3,100"
TOYOTA,PROBOX VAN GL,TOYOTA PROBOX VAN GL,2014,"183,000km","1,500cc",PETROL,AT,"3,250"
TOYOTA,RAUM HID SELECTION,TOYOTA RAUM HID SELECTION,2009,"51,000km","1,500cc",PETROL,AT,"2,300"
TOYOTA,HIACE VAN DX,TOYOTA HIACE VAN DX,2016,"182,000km","3,000cc",DIESEL,5MT,"9,300"
TOYOTA,VOXY ZS KIRAMEKI,TOYOTA VOXY ZS KIRAMEKI,2009,"202,000km","2,000cc",PETROL,AT,"1,940"
TOYOTA,SUCCEED WAGON TX G PACKAGE,TOYOTA SUCCEED WAGON TX G PACKAGE,2009,"148,000km","1,496cc",PETROL,AT,"3,050"
TOYOTA,RACTIS G L PKG,TOYOTA RACTIS G L PKG,2008,"29,000km","1,500cc",PETROL,AT,"2,250"
MAZDA,DEMIO SPORT,MAZDA DEMIO SPORT,2013,"227,000km","1,498cc",PETROL,AT,"1,350"
