Make,Model,Vehicle_Model,Year,Mileage,Engine_Size,Fuel_Type,Transmission,Price
NISSAN,NOTE E POWER MEDALIST,NISSAN NOTE E POWER MEDALIST,2017,160000,1200,HYBRID(PETROL),AT,2700.0
NISSAN,NOTE X,NISSAN NOTE X,2016,76000,1200,PETROL,AT,2530.0
NISSAN,NOTE X DIG-S,NISSAN NOTE X DIG-S,2016,77000,1200,PETROL,AT,2530.0
SUBARU,XV 2.0I L EYESIGHT,SUBARU XV 2.0I L EYESIGHT,2014,78000,1995,PETROL,AT,3120.0
NISSAN,XTRAIL 20X,NISSAN XTRAIL 20X,2014,165000,2000,PETROL,AT,3490.0
TOYOTA,WISH 2.0Z,TOYOTA WISH 2.0Z,2010,128000,2000,PETROL,AT,2260.0
NISSAN,XTRAIL 20XT,NISSAN XTRAIL 20XT,2009,205000,2000,PETROL,AT,2180.0
NISSAN,XTRAIL 20X,NISSAN XTRAIL 20X,2009,152000,2000,PETROL,AT,2210.0
TOYOTA,VITZ JEWELA,TOYOTA VITZ JEWELA,2017,129000,1300,PETROL,AT,4240.0
HONDA,STEPWAGON SPADA Z,HONDA STEPWAGON SPADA Z,2013,185000,2000,PETROL,AT,1620.0
HONDA,VEZEL HYBRID X HONDA SENSING,HONDA VEZEL HYBRID X HONDA SENSING,2021,53000,1500,HYBRID(PETROL),AT,10900.0
HONDA,VEZEL HYBRID X HONDA SENSING BRILLIANT STYLE EDITION,HONDA VEZEL HYBRID X HONDA SENSING BRILLIANT STYLE EDITION,2017,98000,1500,HYBRID(PETROL),AT,8150.0
TOYOTA,MARK X 250G,TOYOTA MARK X 250G,2016,78000,2490,PETROL,AT,6780.0
TOYOTA,LAND CRUISER PRADO TX L PKG MATT BLACK EDITION,TOYOTA LAND CRUISER PRADO TX L PKG MATT BLACK EDITION,2023,20000,2693,PETROL,AT,30550.0
HONDA,FREED HYBRID EX,HONDA FREED HYBRID EX,2017,185000,1496,HYBRID(PETROL),AT,3880.0
DAIHATSU,MIRA X LTD ER,DAIHATSU MIRA X LTD ER,2009,72000,660,PETROL,AT,1000.0
HONDA,FIT HYBRID HYBRID F PACKAGE,HONDA FIT HYBRID HYBRID F PACKAGE,2014,170000,1496,HYBRID(PETROL),AT,2040.0
MAZDA,BIANTE 20S SKYACTIV,MAZDA BIANTE 20S SKYACTIV,2013,125000,2000,PETROL,AT,1290.0
TOYOTA,ALPHARD AS PLATINUM  SELECTION II,TOYOTA ALPHARD AS PLATINUM  SELECTION II,2008,142000,2400,PETROL,AT,2460.0
MAZDA,CX5 XD,MAZDA CX5 XD,2014,109000,2200,DIESEL,AT,3180.0
MAZDA,CX5 XD,MAZDA CX5 XD,2014,80000,2200,DIESEL,AT,3180.0
MAZDA,CX5 XD L PKG,MAZDA CX5 XD L PKG,2014,96000,2200,DIESEL,AT,3200.0
TOYOTA,VANGUARD 240S,TOYOTA VANGUARD 240S,2009,181000,2400,PETROL,AT,5000.0
NISSAN,JUKE 15RS TYPE V,NISSAN JUKE 15RS TYPE V,2013,82000,1500,PETROL,AT,2600.0
TOYOTA,HILUX SURF SSR X LTD,TOYOTA HILUX SURF SSR X LTD,2008,176000,2700,PETROL,AT,9000.0
HONDA,FIT 13G L HONDA SENSING,HONDA FIT 13G L HONDA SENSING,2019,39000,1317,PETROL,AT,5800.0
TOYOTA,PROBOX VAN DX,TOYOTA PROBOX VAN DX,2002,154000,1500,PETROL,AT,3100.0
TOYOTA,PROBOX VAN GL,TOYOTA PROBOX VAN GL,2014,183000,1500,PETROL,AT,3250.0
TOYOTA,RAUM HID SELECTION,TOYOTA RAUM HID SELECTION,2009,51000,1500,PETROL,AT,2300.0
TOYOTA,HIACE VAN DX,TOYOTA HIACE VAN DX,2016,182000,3000,DIESEL,5MT,9300.0
TOYOTA,VOXY ZS KIRAMEKI,TOYOTA VOXY ZS KIRAMEKI,2009,202000,2000,PETROL,AT,1940.0
TOYOTA,SUCCEED WAGON TX G PACKAGE,TOYOTA SUCCEED WAGON TX G PACKAGE,2009,148000,1496,PETROL,AT,3050.0
TOYOTA,RACTIS G L PKG,TOYOTA RACTIS G L PKG,2008,29000,1500,PETROL,AT,2250.0
MAZDA,DEMIO SPORT,MAZDA DEMIO SPORT,2013,227000,1498,PETROL,AT,1350.0
TOYOTA,COROLLA FIELDER HYBRID,TOYOTA COROLLA FIELDER HYBRID,2019,191000,1500,HYBRID(PETROL),AT,5850.0
TOYOTA,COROLLA FIELDER HYBRID,TOYOTA COROLLA FIELDER HYBRID,2019,153000,1500,HYBRID(PETROL),AT,6200.0
TOYOTA,COROLLA FIELDER HYBRID,TOYOTA COROLLA FIELDER HYBRID,2019,120000,1500,HYBRID(PETROL),AT,6500.0
TOYOTA,AQUA L,TOYOTA AQUA L,2021,148000,1500,HYBRID(PETROL),AT,4100.0
TOYOTA,CROWN ROYAL SALOON ANNIVERSARY EDITION,TOYOTA CROWN ROYAL SALOON ANNIVERSARY EDITION,2009,84000,2500,PETROL,AT,2680.0
HONDA,FIT G SMART SELECTION,HONDA FIT G SMART SELECTION,2011,112000,1300,PETROL,AT,1750.0
SUZUKI,JIMNY XC,SUZUKI JIMNY XC,2002,157000,660,PETROL,AT,1600.0
HONDA,VEZEL HYBRID X HONDA SENSING,HONDA VEZEL HYBRID X HONDA SENSING,2018,141000,1500,HYBRID(PETROL),AT,8100.0
MAZDA,CX3 XD TOURING,MAZDA CX3 XD TOURING,2015,135000,1500,DIESEL,AT,3450.0
LAND,ROVER RANGE ROVER EVOQUE PRESTIGE,LAND ROVER RANGE ROVER EVOQUE PRESTIGE,2014,94000,2000,PETROL,AT,6900.0
TOYOTA,COROLLA AXIO G,TOYOTA COROLLA AXIO G,2013,41000,1490,PETROL,AT,4480.0
HONDA,N VAN L HONDA SENSING,HONDA N VAN L HONDA SENSING,2020,199000,660,PETROL,AT,1980.0
SUZUKI,SWIFT SPORT SPORT,SUZUKI SWIFT SPORT SPORT,2012,151000,1600,PETROL,MT,2200.0
TOYOTA,PORTE F,TOYOTA PORTE F,2012,66000,1500,PETROL,AT,1500.0
NISSAN,NOTE X FOUR,NISSAN NOTE X FOUR,2015,123000,1200,PETROL,AT,1200.0
NISSAN,NOTE X DIG-S V SELECTION + SAFETY,NISSAN NOTE X DIG-S V SELECTION + SAFETY,2015,122000,1200,PETROL,AT,1450.0
TOYOTA,TOWNACE VAN DX,TOYOTA TOWNACE VAN DX,2022,144000,1500,PETROL,5MT,5800.0
TOYOTA,TOWNACE VAN DX,TOYOTA TOWNACE VAN DX,2016,274000,1500,PETROL,AT,3000.0
TOYOTA,YARIS X,TOYOTA YARIS X,2021,104000,1000,PETROL,AT,4800.0
TOYOTA,YARIS X,TOYOTA YARIS X,2021,75000,1000,PETROL,AT,5100.0
TOYOTA,YARIS X,TOYOTA YARIS X,2021,100000,1000,PETROL,AT,4800.0
